## base_source

### 0 
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
w2d, 0.9874213933944702, 0.9800000190734863, 10, 3.3613712079823017, 344, 5891528, 33978475
d2a, 0.9599999785423279, 0.47340425848960876, 1, 2.829136073589325, 643, 3834485, 36920574
d2w, 0.9599999785423279, 0.9622641801834106, 1, 3.3436165042221546, 220, 3441338, 28613997

### 1002

pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.8723404407501221, 0.8301886916160583, 10, 3.141536444425583, 401, 5696421, 42571667
a2d, 0.8528369069099426, 0.6800000071525574, 2, 3.134402722120285, 215, 3205182, 40980127
w2a, 0.9811320900917053, 0.5372340679168701, 10, 2.921034038066864, 1138, 5293930, 45754809
w2d, 0.9937106966972351, 0.9700000286102295, 2, 3.367884050589055, 200, 4546425, 33177927
d2a, 0.9900000095367432, 0.47695034742355347, 5, 2.914790064096451, 874, 3936933, 44321616
d2w, 0.9700000286102295, 0.9622641801834106, 1, 3.343205112963915, 210, 4116398, 33693969

## mcd

### 1000 
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.8670212626457214, 0.6729559898376465, 1, 2.829950273036957, 506, 15406772, 41469377
a2d, 0.8546099066734314, 0.6600000262260437, 1, 3.0869356095790863, 385, 4057548, 31399126
w2a, 0.9748427867889404, 0.4202127754688263, 1, 2.5796340703964233, 1660, 5583354, 34267241
w2d, 0.9937106966972351, 0.9900000095367432, 1, 3.3635216038674116, 365, 2797929, 24707291
d2a, 0.949999988079071, 0.457446813583374, 1, 2.0860595703125, 1666, 4467004, 31962598
d2w, 0.9599999785423279, 0.9496855139732361, 1, 3.3137915283441544, 496, 2871113, 25018827

### 1001
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.8528369069099426, 0.7169811129570007, 1, 2.890134960412979, 513, 4244631, 32756954
a2d, 0.8634752035140991, 0.699999988079071, 1, 3.032641291618347, 387, 4036214, 31394942
w2a, 0.9622641801834106, 0.40780141949653625, 1, 2.140858769416809, 1664, 4419387, 36231225
w2d, 0.9937106966972351, 0.9900000095367432, 1, 3.3611676283180714, 365, 3551865, 23997636
d2a, 0.9399999976158142, 0.4414893686771393, 1, 2.0133461952209473, 1670, 4298179, 34344321
d2w, 0.9700000286102295, 0.9685534834861755, 1, 3.3308386877179146, 491, 2970934, 24218735

### 1002
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.8492907881736755, 0.7106918096542358, 1, 2.8455355167388916, 514, 4149244, 36814371
a2d, 0.868794322013855, 0.6600000262260437, 1, 3.0642423927783966, 388, 4196447, 36602865
w2a, 0.9433962106704712, 0.40780141949653625, 1, 1.870089054107666, 1664, 3687454, 39681297
w2d, 0.9937106966972351, 0.9900000095367432, 1, 3.362998020835221, 364, 2788383, 28436426
d2a, 0.9700000286102295, 0.4716311991214752, 1, 2.5899985432624817, 1670, 3595942, 38278756
d2w, 0.9700000286102295, 0.955974817276001, 1, 3.318345107138157, 500, 3618847, 31019688


## cdan

### 1000 
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.8617021441459656, 0.7672955989837646, 20, 3.0454940795898438, 592, 5080608, 41227764
a2d, 0.8758864998817444, 0.6499999761581421, 1, 3.0969681441783905, 209, 4029451, 31343231
w2a, 0.9874213933944702, 0.4929077923297882, 6, 2.9462227523326874, 917, 4533481, 34044445
w2d, 0.9937106966972351, 1.0, 1, 3.363943117670715, 196, 2781754, 29391706
d2a, 0.9800000190734863, 0.478723406791687, 1, 2.846288025379181, 645, 4341450, 31262313
d2w, 0.9599999785423279, 0.9371069073677063, 13, 3.3290560506284237, 453, 3677136, 34112599

### 1001
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.859929084777832, 0.7295597195625305, 3, 3.054337203502655, 262, 4142446, 37197269
a2d, 0.8705673813819885, 0.6700000166893005, 2, 3.1053617745637894, 228, 3454550, 36729206
w2a, 0.9811320900917053, 0.5, 10, 2.9757832884788513, 1151, 5164954, 43429725
w2d, 0.9937106966972351, 0.9900000095367432, 1, 3.3577697575092316, 199, 3933911, 31141681
d2a, 0.9399999976158142, 0.4822694957256317, 16, 2.898041605949402, 1517, 4946090, 41778773
d2w, 0.9700000286102295, 0.955974817276001, 1, 3.3417187556624413, 311, 3556355, 31852883

### 1002
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.8634752035140991, 0.7798742055892944, 13, 3.1524268835783005, 460, 5133463, 46997176
a2d, 0.8794326186180115, 0.6700000166893005, 1, 3.1062995195388794, 201, 4005580, 41431426
w2a, 0.9811320900917053, 0.49468085169792175, 5, 2.9161027669906616, 868, 4376041, 46884215
w2d, 0.9937106966972351, 0.9800000190734863, 1, 3.3679347042925656, 189, 4446701, 33397282
d2a, 0.9599999785423279, 0.4822694957256317, 1, 2.795869469642639, 639, 5168320, 41127631
d2w, 0.9800000190734863, 0.9622641801834106, 1, 3.3064581975340843, 212, 4208893, 33819346

## end
